"Correlation matrix (Pearson):",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Variables","n","m","parallel_edges","m_unique","avg_degree","avg_degree_centrality","avg_in_degree_centrality","avg_out_degree_centrality","max_degree","max_degree_centrality","max_in_degree","max_in_degree_centrality","max_out_degree","max_out_degree_centrality","h_index_d","h_index_u","fill","fill_overall","reciprocity","max_pagerank","pseudo_diameter","powerlaw_exponent_degree","powerlaw_exponent_degree_dmin","powerlaw_exponent_in_degree","powerlaw_exponent_in_degree_dmin","stddev_in_degree","stddev_out_degree","coefficient_variation_in_degree","coefficient_variation_out_degree","var_in_degree","var_out_degree","centralization_in_degree","centralization_out_degree"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Coefficients of determination (Pearson):",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Variables","n","m","parallel_edges","m_unique","avg_degree","avg_degree_centrality","avg_in_degree_centrality","avg_out_degree_centrality","max_degree","max_degree_centrality","max_in_degree","max_in_degree_centrality","max_out_degree","max_out_degree_centrality","h_index_d","h_index_u","fill","fill_overall","reciprocity","max_pagerank","pseudo_diameter","powerlaw_exponent_degree","powerlaw_exponent_degree_dmin","powerlaw_exponent_in_degree","powerlaw_exponent_in_degree_dmin","stddev_in_degree","stddev_out_degree","coefficient_variation_in_degree","coefficient_variation_out_degree","var_in_degree","var_out_degree","centralization_in_degree","centralization_out_degree"
"n",1,"0,730","0,101","0,816","0,000","0,004","0,004","0,004","0,500","0,001","0,457","0,001","0,402","0,001","0,655","0,517","0,005","0,004","0,000","0,001","0,006","0,005","0,002","0,002","0,000","0,160","0,104","0,540","0,243","0,024","0,045","0,001","0,001"
"m","0,730",1,"0,408","0,867","0,128","0,005","0,005","0,005","0,672","0,054","0,631","0,058","0,445","0,002","0,823","0,804","0,006","0,005","0,000","0,001","0,007","0,005","0,038","0,002","0,012","0,548","0,258","0,476","0,204","0,285","0,208","0,058","0,002"
"parallel_edges","0,101","0,408",1,"0,099","0,351","0,001","0,001","0,001","0,455","0,315","0,448","0,332","0,264","0,040","0,283","0,529","0,002","0,001","0,000","0,000","0,002","0,002","0,018","0,001","0,002","0,655","0,502","0,115","0,073","0,813","0,601","0,332","0,040"
"m_unique","0,816","0,867","0,099",1,"0,026","0,005","0,005","0,005","0,479","0,000","0,440","0,001","0,336","0,001","0,752","0,580","0,005","0,005","0,000","0,001","0,007","0,004","0,031","0,002","0,013","0,281","0,085","0,477","0,184","0,054","0,038","0,001","0,001"
"avg_degree","0,000","0,128","0,351","0,026",1,"0,006","0,006","0,006","0,141","0,650","0,144","0,698","0,045","0,016","0,124","0,231","0,011","0,006","0,004","0,002","0,087","0,004","0,091","0,013","0,042","0,456","0,194","0,011","0,000","0,472","0,243","0,698","0,016"
"avg_degree_centrality","0,004","0,005","0,001","0,005","0,006",1,"1,000","1,000","0,004","0,018","0,004","0,002","0,001","0,346","0,015","0,013","0,894","1,000","0,011","0,001","0,004","0,004","0,001","0,006","0,001","0,009","0,003","0,017","0,005","0,001","0,001","0,003","0,340"
"avg_in_degree_centrality","0,004","0,005","0,001","0,005","0,006","1,000",1,"1,000","0,004","0,018","0,004","0,002","0,001","0,346","0,015","0,013","0,894","1,000","0,011","0,001","0,004","0,004","0,001","0,006","0,001","0,009","0,003","0,017","0,005","0,001","0,001","0,003","0,340"
"avg_out_degree_centrality","0,004","0,005","0,001","0,005","0,006","1,000","1,000",1,"0,004","0,018","0,004","0,002","0,001","0,346","0,015","0,013","0,894","1,000","0,011","0,001","0,004","0,004","0,001","0,006","0,001","0,009","0,003","0,017","0,005","0,001","0,001","0,003","0,340"
"max_degree","0,500","0,672","0,455","0,479","0,141","0,004","0,004","0,004",1,"0,132","0,996","0,142","0,207","0,006","0,583","0,691","0,004","0,004","0,001","0,000","0,005","0,003","0,025","0,001","0,007","0,661","0,241","0,689","0,102","0,433","0,232","0,142","0,006"
"max_degree_centrality","0,001","0,054","0,315","0,000","0,650","0,018","0,018","0,018","0,132",1,"0,137","0,919","0,034","0,117","0,042","0,133","0,003","0,018","0,003","0,016","0,056","0,000","0,028","0,002","0,013","0,346","0,163","0,018","0,000","0,428","0,230","0,917","0,117"
"max_in_degree","0,457","0,631","0,448","0,440","0,144","0,004","0,004","0,004","0,996","0,137",1,"0,148","0,164","0,006","0,554","0,665","0,004","0,004","0,001","0,000","0,005","0,003","0,026","0,001","0,007","0,668","0,218","0,689","0,079","0,442","0,216","0,148","0,006"
"max_in_degree_centrality","0,001","0,058","0,332","0,001","0,698","0,002","0,002","0,002","0,142","0,919","0,148",1,"0,033","0,013","0,048","0,144","0,006","0,002","0,005","0,017","0,064","0,000","0,030","0,006","0,015","0,373","0,159","0,023","0,001","0,453","0,233","1,000","0,013"
"max_out_degree","0,402","0,445","0,264","0,336","0,045","0,001","0,001","0,001","0,207","0,034","0,164","0,033",1,"0,025","0,291","0,334","0,001","0,001","0,000","0,000","0,002","0,002","0,001","0,001","0,000","0,150","0,616","0,099","0,674","0,127","0,497","0,033","0,025"
"max_out_degree_centrality","0,001","0,002","0,040","0,001","0,016","0,346","0,346","0,346","0,006","0,117","0,006","0,013","0,025",1,"0,000","0,005","0,164","0,345","0,000","0,000","0,018","0,001","0,000","0,013","0,001","0,015","0,119","0,002","0,055","0,038","0,077","0,012","1,000"
"h_index_d","0,655","0,823","0,283","0,752","0,124","0,015","0,015","0,015","0,583","0,042","0,554","0,048","0,291","0,000",1,"0,908","0,018","0,015","0,000","0,002","0,008","0,007","0,057","0,007","0,024","0,528","0,193","0,553","0,149","0,203","0,149","0,048","0,000"
"h_index_u","0,517","0,804","0,529","0,580","0,231","0,013","0,013","0,013","0,691","0,133","0,665","0,144","0,334","0,005","0,908",1,"0,016","0,013","0,000","0,002","0,009","0,007","0,054","0,005","0,017","0,716","0,346","0,490","0,148","0,451","0,322","0,144","0,006"
"fill","0,005","0,006","0,002","0,005","0,011","0,894","0,894","0,894","0,004","0,003","0,004","0,006","0,001","0,164","0,018","0,016",1,"0,895","0,012","0,001","0,004","0,005","0,001","0,001","0,001","0,010","0,004","0,020","0,006","0,001","0,001","0,007","0,158"
"fill_overall","0,004","0,005","0,001","0,005","0,006","1,000","1,000","1,000","0,004","0,018","0,004","0,002","0,001","0,345","0,015","0,013","0,895",1,"0,011","0,001","0,004","0,004","0,001","0,005","0,001","0,009","0,004","0,017","0,005","0,001","0,001","0,003","0,339"
"reciprocity","0,000","0,000","0,000","0,000","0,004","0,011","0,011","0,011","0,001","0,003","0,001","0,005","0,000","0,000","0,000","0,000","0,012","0,011",1,"0,000","0,001","0,014","0,001","0,004","0,001","0,001","0,000","0,002","0,000","0,001","0,000","0,005","0,000"
"max_pagerank","0,001","0,001","0,000","0,001","0,002","0,001","0,001","0,001","0,000","0,016","0,000","0,017","0,000","0,000","0,002","0,002","0,001","0,001","0,000",1,"0,000","0,084","0,000","0,000","0,000","0,000","0,000","0,012","0,001","0,000","0,000","0,017","0,000"
"pseudo_diameter","0,006","0,007","0,002","0,007","0,087","0,004","0,004","0,004","0,005","0,056","0,005","0,064","0,002","0,018","0,008","0,009","0,004","0,004","0,001","0,000",1,"0,006","0,001","0,004","0,001","0,007","0,006","0,018","0,011","0,001","0,001","0,064","0,017"
"powerlaw_exponent_degree","0,005","0,005","0,002","0,004","0,004","0,004","0,004","0,004","0,003","0,000","0,003","0,000","0,002","0,001","0,007","0,007","0,005","0,004","0,014","0,084","0,006",1,"0,002","0,029","0,000","0,000","0,001","0,000","0,000","0,001","0,001","0,000","0,001"
"powerlaw_exponent_degree_dmin","0,002","0,038","0,018","0,031","0,091","0,001","0,001","0,001","0,025","0,028","0,026","0,030","0,001","0,000","0,057","0,054","0,001","0,001","0,001","0,000","0,001","0,002",1,"0,000","0,923","0,134","0,005","0,020","0,000","0,061","0,008","0,030","0,000"
"powerlaw_exponent_in_degree","0,002","0,002","0,001","0,002","0,013","0,006","0,006","0,006","0,001","0,002","0,001","0,006","0,001","0,013","0,007","0,005","0,001","0,005","0,004","0,000","0,004","0,029","0,000",1,"0,000","0,001","0,000","0,000","0,000","0,000","0,000","0,007","0,013"
"powerlaw_exponent_in_degree_dmin","0,000","0,012","0,002","0,013","0,042","0,001","0,001","0,001","0,007","0,013","0,007","0,015","0,000","0,001","0,024","0,017","0,001","0,001","0,001","0,000","0,001","0,000","0,923","0,000",1,"0,063","0,000","0,012","0,000","0,016","0,000","0,015","0,000"
"stddev_in_degree","0,160","0,548","0,655","0,281","0,456","0,009","0,009","0,009","0,661","0,346","0,668","0,373","0,150","0,015","0,528","0,716","0,010","0,009","0,001","0,000","0,007","0,000","0,134","0,001","0,063",1,"0,355","0,399","0,055","0,766","0,398","0,373","0,015"
"stddev_out_degree","0,104","0,258","0,502","0,085","0,194","0,003","0,003","0,003","0,241","0,163","0,218","0,159","0,616","0,119","0,193","0,346","0,004","0,004","0,000","0,000","0,006","0,001","0,005","0,000","0,000","0,355",1,"0,088","0,607","0,401","0,892","0,159","0,119"
"coefficient_variation_in_degree","0,540","0,476","0,115","0,477","0,011","0,017","0,017","0,017","0,689","0,018","0,689","0,023","0,099","0,002","0,553","0,490","0,020","0,017","0,002","0,012","0,018","0,000","0,020","0,000","0,012","0,399","0,088",1,"0,132","0,086","0,047","0,023","0,001"
"coefficient_variation_out_degree","0,243","0,204","0,073","0,184","0,000","0,005","0,005","0,005","0,102","0,000","0,079","0,001","0,674","0,055","0,149","0,148","0,006","0,005","0,000","0,001","0,011","0,000","0,000","0,000","0,000","0,055","0,607","0,132",1,"0,014","0,380","0,001","0,055"
"var_in_degree","0,024","0,285","0,813","0,054","0,472","0,001","0,001","0,001","0,433","0,428","0,442","0,453","0,127","0,038","0,203","0,451","0,001","0,001","0,001","0,000","0,001","0,001","0,061","0,000","0,016","0,766","0,401","0,086","0,014",1,"0,536","0,452","0,038"
"var_out_degree","0,045","0,208","0,601","0,038","0,243","0,001","0,001","0,001","0,232","0,230","0,216","0,233","0,497","0,077","0,149","0,322","0,001","0,001","0,000","0,000","0,001","0,001","0,008","0,000","0,000","0,398","0,892","0,047","0,380","0,536",1,"0,233","0,077"
"centralization_in_degree","0,001","0,058","0,332","0,001","0,698","0,003","0,003","0,003","0,142","0,917","0,148","1,000","0,033","0,012","0,048","0,144","0,007","0,003","0,005","0,017","0,064","0,000","0,030","0,007","0,015","0,373","0,159","0,023","0,001","0,452","0,233",1,"0,012"
"centralization_out_degree","0,001","0,002","0,040","0,001","0,016","0,340","0,340","0,340","0,006","0,117","0,006","0,013","0,025","1,000","0,000","0,006","0,158","0,339","0,000","0,000","0,017","0,001","0,000","0,013","0,000","0,015","0,119","0,001","0,055","0,038","0,077","0,012",1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Correlation maps:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
