"id","name","domain","n","m","avg_degree","max_degree","max_in_degree","max_out_degree","h_index_d","h_index_u","fill","reciprocity","pseudo_diameter","fill_overall","parallel_edges","m_unique","max_pagerank","max_in_degree_centrality","max_out_degree_centrality","max_degree_centrality","powerlaw_exponent_degree","powerlaw_exponent_degree_dmin","powerlaw_exponent_in_degree","powerlaw_exponent_in_degree_dmin","stddev_in_degree","stddev_out_degree","coefficient_variation_in_degree","coefficient_variation_out_degree","var_in_degree","var_out_degree","centralization_degree"
35,"apertium-rdf-eo-fr","Linguistics",264032,726288,"5,5015",71582,71582,35797,13,17,"9,39E-06",0,4,"1,04E-05",71583,654705,"0,023160371437229","0,271112104260485","0,13557877673455","0,271112104260485","7,5676",9,"6,0293",5,"244,7028","100,499","8895,83","3653,5","59879,4682","10100,0437","0,2711"
508,"lexvo","Linguistics",645933,726674,"2,25",98944,98944,812,64,320,"1,72E-06","0,030230887578199",2,"1,74E-06",9079,717595,"0,006968317767026","0,153180210920035","0,001257098270406","0,153180210920035","2,0958",12,"3,3136",33,"123,5131","10,8195","10978,9","961,73","15255,4738","117,0606","0,1532"
38,"apertium-rdf-es-ca","Linguistics",270957,730513,"5,3921",62576,62576,31297,10,13,"9,10E-06",0,2,"9,95E-06",62582,667931,"0,019729594328393","0,230945245722553","0,115505838586339","0,230945245722553","17,8542",7,"101,2137",2,"248,037","100,9226","9200,02","3743,35","61522,3291","10185,3631","0,2309"
390,"galician-eurowordnet-lemon-lexicon-3-0","Linguistics",219382,734979,"6,7004",27126,27126,23412,139,145,"1,48E-05","0,125712435321281",23,"1,53E-05",23917,711062,"0,00524817215269","0,12364790022837","0,106718448726189","0,12364790022837","5,8568",12,"1,6078",34,"144,8991","50,1389","4325,06","1496,58","20995,763","2513,9051","0,1236"
29,"apertium-rdf-en-ca","Linguistics",281314,759613,"5,4005",66028,66028,33035,11,15,"8,76E-06",0,2,"9,60E-06",66058,693555,"0,020053317612385","0,234713646365436","0,117431473127797","0,234713646365436","119,1441",6,"6,0548",4,"252,0705","102,8162","9335,14","3807,68","63539,546","10571,1732","0,2347"
37,"apertium-rdf-es-ast","Linguistics",302496,825547,"5,4582",72189,72189,36102,11,14,"8,23E-06",0,4,"9,02E-06",72193,753354,"0,020387037155467","0,238645266863915","0,119347427230202","0,238645266863915","105,8929",6,"6,6203",4,"265,6384","107,7188","9733,49","3947,02","70563,7764","11603,3468","0,2386"
1084,"universal-dependencies-treebank-russian-syntagrus","Linguistics",149836,952493,"12,7138",108100,108100,9,222,222,"3,80E-05","0,050244988677082",6129,"4,24E-05",98443,854050,"0,012967495529186","0,72146027296693","6,01E-05","0,72146027296693","1,6586",62,"1,6586",62,"327,7638","3,815","5156,03","60,0142","107429,1081","14,5546","0,7214"
73,"basque-eurowordnet-lemon-lexicon-3-0","Linguistics",314069,1215583,"7,7409",50041,50041,27235,182,185,"1,20E-05","0,142836811636885",20,"1,23E-05",27556,1188027,"0,00424134421013","0,159331737076047","0,086716889336067","0,159331737076047","4,7766",13,"1,5964",44,"195,0775","48,7974","5040,2","1260,77","38055,2498","2381,1897","0,1593"
830,"saldo-rdf","Linguistics",538248,1382823,"5,1382",132128,132127,132128,143,143,"4,51E-06",0,3,"4,77E-06",75318,1307505,"0,017091116639963","0,245476519144556","0,245478377027647","0,245478377027647","1,6633",144,"2,2215",15,"336,4052","180,1055","13094,2","7010,4","113168,4309","32437,9905","0,2347"
58,"associations","Linguistics",373035,1674376,"8,977",325588,325588,5,259,259,"1,20E-05",0,2,"1,20E-05",564,1673812,"0,022886370983957","0,872810521292965","1,34E-05","0,872810521292965","2,8806",49,"2,8503",48,"667,8196","1,3865","14878,4","30,8895","445983,0197","1,9223","0,8728"
494,"jrc-names-mlode","Linguistics",997372,1712143,"3,4333",233851,233851,513,24,98,"1,49E-06",0,5,"1,72E-06",233851,1478292,"0,004461813140993","0,234467414833598","0,000514352232018","0,234467414833598","3,162",28,"511,1929",2,"401,1692","3,9564","23369,2","230,474","160936,7241","15,6535","0,2345"
151,"catalan-eurowordnet-lemon-lexicon-3-0","Linguistics",509922,1841180,"7,2214",71282,71282,48103,207,218,"6,89E-06","0,148487383091278",4,"7,08E-06",49655,1791525,"0,004607252360418","0,139790281239643","0,094334220398846","0,139790281239643","4,9801",13,"3,5879",7,"226,3682","67,5134","6269,36","1869,81","51242,5782","4558,0615","0,1398"
470,"ids","Linguistics",479613,1984385,"8,2749",281851,281851,223,244,244,"7,39E-06",0,7,"8,63E-06",285534,1698851,"0,020416876561593","0,587664612228218","0,000464959175333","0,587664612228218","41,2115",7,"21,7203",1,"610,1684","11,8251","14747,4","285,804","372305,4846","139,8322","0,5877"
646,"olac","Linguistics",1000240,3133455,"6,2654",137772,137772,111371,490,511,"2,64E-06",0,5,"3,13E-06",488270,2645185,"0,001383162525153","0,137739080359794","0,111344388691103","0,137739080359794","2,0094",87,"1,9298",29,"199,6826","112,6348","6374,13","3595,45","39873,1399","12686,6092","0,1377"
506,"lemonwiktionary","Linguistics",2571095,3501697,"2,7239",327594,257684,327594,140,140,"5,10E-07",0,3,"5,30E-07",129203,3372494,"0,002425389292316","0,10022348463339","0,127414244675613","0,127414244675613","1,6759",34,"1,6974",58,"190,8468","204,3118","14012,8","15001,4","36422,4998","41743,3104","0,1071"
831,"saldom-rdf","Linguistics",3126643,8349115,"5,3406",1994796,1994796,123311,323,326,"8,54E-07",0,3,"8,54E-07",0,8349115,"0,029155940151397","0,637999489548212","0,039438797278358","0,637999489548212","1,6361",134,"1,6071",95,"1152,4415","69,8601","43157,5","2616,18","1328121,4122","4880,4401","0,638"
674,"xwn","Linguistics",6069091,12798534,"4,2176",2042975,2042975,156585,164,172,"3,47E-07",0,3,"3,47E-07",6,12798528,"0,026078705432841","0,336619657971788","0,025800408298443","0,336619657971788","3,504",54,"4,632",95,"1128,7484","136,2594","53525,5","6461,45","1274072,9409","18566,6123","0,3366"
846,"semanticquran","Linguistics",2205393,15741399,"14,2754",883600,883600,16621,881,994,"2,98E-06","0,008453505307883",5,"3,24E-06",1254687,14486712,"0,00637408722047","0,400654396134565","0,007536528653409","0,400654396134565","1,8457",773,"1,8126",16,"1243,3087","36,2427","17418,9","507,766","1545816,5865","1313,5362","0,4006"
1222,"getty-aat","Linguistics",3901309,20196996,"10,354",874384,874384,3426,695,736,"9,64E-07","0,151605367451674",7,"1,33E-06",5521732,14675264,"0,005425975481087","0,224125857276585","0,000878167014755","0,224125857276585","1,7603",666,"1,7082",573,"821,1126","16,5066","15860,8","318,846","674225,9316","272,4669","0,2241"
53,"getty-aat","Linguistics",3901309,20196996,"10,354",874384,874384,3426,695,736,"9,64E-07","0,151605367451674",7,"1,33E-06",5521732,14675264,"0,005190305147967","0,224125857276585","0,000878167014755","0,224125857276585","1,7603",666,"1,7082",573,"821,1126","16,5066","15860,8","318,846","674225,9316","272,4669","0,2062"
741,"panlex","Linguistics",120683397,291314466,"4,8277",50797439,50797439,5121715,1467,1469,"1,91E-08",0,2,"2,00E-08",13793791,277520675,"0,01752153951003","0,420914895368042","0,042439268116055","0,420914895368042","2,4253",39,"2,3629",32,"5303,1407","504,2214",219694,"20888,5","28123300,7544","254239,2454","0,4209"
664,"ontos-news-portal","Media",7160,22830,"6,3771",3708,3708,211,15,22,"0,000285044942418","0,000700832238283",6,"0,000445327861178",8217,14613,"0,013072248603351","0,517949434278531","0,029473390138288","0,517949434278531","1,8738",70,"13,5968",2,"47,6761","5,837","1495,23","183,061","2273,0125","34,0703","0,2585"
767,"data-incubator-pokedex","Media",12692,26562,"4,1856",1898,1898,94,48,53,"0,0001455798407","0,128153000527069",8,"0,0001648924024",3111,23451,"0,001146550847723","0,149554802616027","0,007406823733354","0,149554802616027","2,2583",73,"1,9205",9,"21,6126","9,3148","1032,7","445,085","467,1034","86,7657","0,0417"
242,"dbtune-john-peel-sessions","Media",126177,271369,"4,3014",28631,28631,726,64,77,"1,57E-05","0,142278594828444",2,"1,70E-05",21937,249432,"0,013276630866519","0,226913200608674","0,005753867613492","0,226913200608674","1,6736",51,"1,8157",11,"100,8449","4,5125","4688,93","209,814","10169,7008","20,3623","0,2269"
133,"bricklink","Media",791979,3476977,"8,7805",357594,357594,461,332,421,"5,52E-06","0,211030443974752",2,"5,54E-06",14899,3462078,"0,009372790246733","0,451520117983075","0,000582086876151","0,451520117983075","1,8355",685,"1,816",462,"475,6922","7,7274","10835,2","176,013","226283,0898","59,7129","0,4515"
238,"dbtropes","Media",7771467,21057602,"5,4192",7048547,7048547,6552,833,1017,"2,91E-07","0,00694319324679",14,"3,49E-07",3483712,17573890,"0,029236483575266","0,906977782570238","0,000843084174852","0,906977782570238","3,2382",944,"2,9629",731,"2529,527","15,4782","93354,1","571,234","6398506,6109","239,5746","0,4607"
262,"data-incubator-discogs","Media",48318259,161749815,"6,6952",17753266,17753266,185417,1554,1745,"6,88E-08","0,308134485347016",23,"6,93E-08",1237082,160512733,"0,011823530441138","0,367423552397108","0,003837410694732","0,367423552397108","2,3525",101,"2,229",53,"2761,5415","28,02","82493,4","837,021","7626111,2629","785,1223","0,3674"
388,"rkb-explorer-lisbon","Publications",84,115,"2,7381",13,8,11,4,9,"0,016298185941043",0,6,"0,016298185941043",0,115,"0,003160984848485","0,096385542168675","0,132530120481928","0,156626506024096","2,8576",1,"5,0458",1,"1,4457","3,1463","105,598","229,82","2,09","9,8995","0,1267"
821,"rism-authorities","Publications",70,140,4,114,4,114,2,4,"0,014081632653061",0,4,"0,028571428571429",71,69,"0,003991447368421","0,057971014492754","1,65217391304348","1,65217391304348","8,5975",2,"100,546",2,"0,3381","13,6946","16,9031","684,731","0,1143","187,5429","0,8061"
265,"rkb-explorer-italy","Publications",132,180,"2,7273",11,6,11,6,9,"0,010330578512397",0,6,"0,010330578512397",0,180,"0,001860795454545","0,045801526717557","0,083969465648855","0,083969465648855","2,7733",1,"4,6754",1,"1,4049","3,248","103,028","238,188","1,9738","10,5496","0,0641"
1129,"rkb-explorer-kaunas","Publications",170,324,"3,8118",24,17,18,6,12,"0,008961937716263",0,11,"0,01121107266436",65,259,"0,005995613222562","0,100591715976331","0,106508875739645","0,142011834319527","2,2031",1,"3,2064",1,"2,299","3,8703","120,625","203,072","5,2853","14,9794","0,0716"
249,"rkb-explorer-deepblue","Publications",173,397,"4,5896",37,37,27,9,12,"0,009723011126332",0,9,"0,013264726519429",106,291,"0,007131417146798","0,215116279069767","0,156976744186047","0,215116279069767","4,6332",8,"3,8514",8,"3,9724","4,3449","173,106","189,338","15,7801","18,8784","0,0743"
385,"rkb-explorer-ft","Publications",424,782,"3,6887",75,75,42,12,14,"0,003276299394802",0,10,"0,00434985760057",193,589,"0,010248161640836","0,177304964539007","0,099290780141844","0,177304964539007","2,7499",7,"4,6143",1,"5,3482","4,034","289,979","218,722","28,6031","16,2729","0,1264"
1106,"rkb-explorer-ulm","Publications",369,1045,"5,664",129,129,87,12,21,"0,004869235684227",0,10,"0,007674737993992",382,663,"0,011894343245406","0,35054347826087","0,236413043478261","0,35054347826087","2,5441",6,"2,469",6,"9,0061","7,2178","318,015","254,867","81,11","52,0964","0,1486"
813,"rkb-explorer-courseware","Publications",688,1066,"3,0988",100,100,24,10,15,"0,001816860465116",0,2,"0,002252061925365",206,860,"0,00986454407617","0,145560407569141","0,034934497816594","0,145560407569141","3,6803",6,"6,2687",1,"5,6268","2,7429","363,153","177,03","31,6603","7,5237","0,1307"
815,"rkb-explorer-wiki","Publications",1128,1748,"3,0993",192,37,192,9,18,"0,001371441325889",0,9,"0,001373799104673",3,1745,"0,001095582703414","0,032830523513753","0,17036379769299","0,17036379769299","3,4996",14,"5,0364",8,"2,0025","6,6519","129,222","429,252","4,0099","44,2475","0,1679"
814,"rkb-explorer-curriculum","Publications",1068,2479,"4,6423",349,349,54,13,20,"0,001556165747871",0,3,"0,002173371768436",704,1775,"0,016709492793417","0,327085285848172","0,050609184629803","0,327085285848172","2,966",9,"2,4511",4,"12,2086","4,263","525,969","183,658","149,0495","18,1731","0,2147"
463,"rkb-explorer-eurecom","Publications",816,2486,"6,0931",816,408,612,12,18,"0,002254241157247",0,11,"0,003733539984621",985,1501,"0,015302658281589","0,500613496932515","0,750920245398773","1,00122699386503","2,1741",10,"2,3427",3,"21,4769","21,5991","704,952","708,966","461,2552","466,5223","0,2489"
1104,"rkb-explorer-roma","Publications",720,2602,"7,2278",374,374,135,23,30,"0,002816358024691",0,9,"0,005019290123457",1142,1460,"0,010525469299798","0,520166898470097","0,187760778859527","0,520166898470097","3,5012",92,"2,1373",6,"16,7784","10,3747","464,276","287,078","281,5148","107,6343","0,1268"
986,"rkb-explorer-darmstadt","Publications",1320,2799,"4,2409",319,315,54,13,21,"0,001301652892562",0,4,"0,001606404958678",531,2268,"0,003405538050966","0,238817285822593","0,040940106141016","0,241849886277483","2,7058",13,"2,7505",3,"15,1736","5,1443","715,582","242,602","230,2378","26,4635","0,1872"
137,"rkb-explorer-budapest","Publications",1021,3497,"6,8501",501,501,121,22,33,"0,001965578867293",0,9,"0,00335462630499",1448,2049,"0,012760963963655","0,491176470588235","0,118627450980392","0,491176470588235","2,5303",6,"1,991",3,"19,0265","10,7581","555,506","314,099","362,0074","115,737","0,1552"
251,"rkb-explorer-deploy","Publications",1926,4769,"4,9522",488,488,237,25,30,"0,000944607809836","0,005032501572657",8,"0,001285626325659",1265,3504,"0,006718890731302","0,253506493506494","0,123116883116883","0,253506493506494","2,1787",16,"2,1285",3,"14,0668","8,9843","568,099","362,839","197,8746","80,7178","0,1869"
440,"rkb-explorer-ibm","Publications",1597,6888,"8,6262",967,967,204,36,52,"0,001413498776079",0,9,"0,002700743292546",3283,3605,"0,01227819067033","0,605889724310777","0,12781954887218","0,605889724310777","2,5374",57,"2,9128",1,"29,8142","14,6078","691,25","338,686","888,8876","213,3885","0,1239"
